989.52197,150.41046,0,1
989.46265,150.6814,20,1
989.48285,150.66527,40,1
989.51483,150.74721,60,1
989.52441,150.68672,80,1
989.55579,150.69719,100,1
989.59442,150.78535,120,1
989.39166,150.8484,140,1
989.57416,150.8472,160,1
989.41174,150.89397,180,1
989.57495,150.73187,200,1
989.59973,150.77824,220,1
989.5058,150.62512,240,1
989.43762,150.88622,260,1
989.54199,150.59702,280,1
989.27515,150.99681,300,1
989.40338,150.69102,320,1
988.93439,150.57104,340,1
989.00641,150.77417,360,1
989.27844,150.86755,380,1
988.95618,150.87613,400,1
989.12201,150.76071,420,1
989.27521,150.94054,440,1
989.617,150.6048,460,1
989.17633,150.9328,480,1
988.93622,150.75156,500,1
989.04822,150.82068,520,1
989.55829,150.67596,540,1
989.362,150.92566,560,1
989.32776,150.92094,580,1
989.31934,150.92142,600,1
989.34369,150.86755,620,1
989.49359,150.80898,640,1
989.63074,150.69096,660,1
989.44147,150.80833,680,1
989.5351,150.73582,700,1
989.27856,150.90977,720,1
989.10303,150.92874,740,1
989.14337,150.77147,760,1
989.46118,150.83215,780,1
989.40912,150.75563,800,1
989.4856,150.52638,820,1
989.56097,150.87479,840,1
989.5686,150.52747,860,1
989.388,150.94958,880,1
989.27386,150.36639,900,1
989.1004,150.33141,920,1
989.08911,150.30385,940,1
989.13538,150.29099,960,1
989.08923,150.3362,980,1
989.15857,150.2536,1000,1
989.15576,150.3139,1020,1
989.08826,150.28452,1040,1
989.04834,150.30731,1060,1
989.08417,150.25471,1080,1
989.13257,150.33603,1100,1
989.06659,150.28415,1120,1
989.07135,150.37971,1140,1
989.21844,150.23372,1160,1
989.07428,150.29031,1180,1
989.20416,150.25539,1200,1
989.17554,150.22429,1220,1
989.12,150.2984,1240,1
989.12958,150.24001,1260,1
989.16077,150.27429,1280,1
989.37897,150.6906,1300,1
989.60999,150.65323,1320,1
989.52588,150.59799,1340,1
989.34216,150.93292,1360,1
989.43848,150.85359,1380,1
989.54871,150.70596,1400,1
989.46118,150.81802,1420,1
989.40363,150.78453,1440,1
